date,term,sku,position,clicks
13-Dec-23,AI UZ300,AI UZ300,1:01,13
8-Nov-23,gloves,U171321,2:19,8
12-Dec-23,acetylene,AC MC,1:03,7
18-Dec-23,cd usp50,CD USP50,1:01,7
12-Oct-23,cd usp50,CD USP50,1:01,6
12-Oct-23,REGULATOR,Y12N245D580-AG,1:01,6
17-Oct-23,liquid nitrogen,NI 230LT22,1:02,6
7-Nov-23,ar cd25300,AR CD25300,1:01,6
20-Nov-23,acetylene,AC 4,1:01,6
5-Dec-23,hydrogen,HY 200,1:02,6
7-Dec-23,OX 200,OX 200,1:01,6
11-Dec-23,OX 200,OX 200,1:01,6
25-Oct-23,AC 4,AC 4,1:01,5
30-Oct-23,ni 300,NI 300,1:02,5
16-Nov-23,ni 300,NI 300,1:02,5
11-Dec-23,safety glasses,RAD64051203,7:03,5
3-Jan-24,cd usp50,CD USP50,1:01,5
8-Jan-24,ear plugs,HONLL-1,1:02,5
8-Jan-24,helium,HE UHP300,1:01,5
30-Jan-24,cut resistant gloves,RAD64056928,1:02,5
6-Feb-24,ar 300,AR 300,1:01,5
6-Feb-24,Argon,HY UHP300,1:01,5
12-Oct-23,cut resistant gloves,ANE11-757-9,1:05,4
12-Oct-23,safety glasses,RAD64051234,4:19,4
13-Oct-23,Argon,AR 300,1:01,4
16-Oct-23,7018,K4525676,1:05,4
16-Oct-23,OX 200,OX 200,1:01,4
17-Oct-23,OX USP200,OX USP200,1:01,4
18-Oct-23,safety glasses,RAD64051222,1:08,4
20-Oct-23,PR 33A,PR 33A,1:01,4
23-Oct-23,ni 230lt22,NI 230LT22,1:01,4
24-Oct-23,ar 300,AR 300,1:01,4
27-Oct-23,Hard hat,MSA10194790,1:11,4
30-Oct-23,NI UHP300,NI UHP300,1:01,4
31-Oct-23,earplugs,RAD64051841,1:06,4
1-Nov-23,propane,PR 33,1:02,4
9-Nov-23,acetylene,AC 4,1:01,4
14-Nov-23,face shield,SEL14955,1:01,4
14-Nov-23,hydrogen,HY 200,1:02,4
20-Nov-23,cd 50,CD 50,1:01,4
30-Nov-23,safety glasses,RAD64051205,1:01,4
4-Dec-23,OX UHP300,OX UHP300,1:01,4
13-Dec-23,ac5,AC 5,1:01,4
19-Dec-23,oxygen,WES111,1:02,4
28-Dec-23,ar 300,AR 300,1:01,4
1-Jan-24,welding jacket,PIP7005/XL,1:01,4
4-Jan-24,gloves,RAD64056368,1:03,4
8-Jan-24,ac4,AC 4,1:01,4
15-Jan-24,cd usp50,CD USP50,1:01,4
16-Jan-24,Argon,AR 300,1:02,4
18-Jan-24,ni 300,NI 300,1:01,4
22-Jan-24,cut resistant gloves,PIP44-3745/L,1:03,4
24-Jan-24,ar cd25300,AR CD25300,1:01,4
25-Jan-24,earplugs,3MR312-1201,1:10,4
25-Jan-24,helium,HE UHP200,1:08,4
26-Jan-24,MIL216326,MIL216326,1:01,4
29-Jan-24,Argon,AR 125,1:12,4
1-Feb-24,ar cd25300,AR CD25300,1:01,4
12-Oct-23,Argon,AR UHP35,1:14,3
12-Oct-23,cut resistant gloves,ANE11-757-10,1:06,3
12-Oct-23,safety glasses,CREBK117,4:05,3
12-Oct-23,safety glasses,CRESS112,6:20,3
13-Oct-23,tyvek,DPPTY125SWH3X00,1:12,3
18-Oct-23,Argon,AR 300,1:01,3
20-Oct-23,ar 300,AR 300,1:01,3
23-Oct-23,ac4,AC 4,1:01,3
23-Oct-23,pr33,PR 33A,1:02,3
24-Oct-23,liquid nitrogen,NI 230LT22,1:02,3
24-Oct-23,REGULATOR,RAD64003037,1:01,3
24-Oct-23,un1956,AR CD25125,1:02,3
26-Oct-23,cd 50s,CD 50S,1:01,3
26-Oct-23,cd50,CD 50,1:01,3
30-Oct-23,ar uhp300,AR UHP300,1:01,3
30-Oct-23,gloves,RAD64056003,1:04,3
30-Oct-23,he uhp300,HE UHP300,1:01,3
30-Oct-23,safety glasses,K4521303,3:07,3
31-Oct-23,acetylene,AC 5,1:02,3
31-Oct-23,he uhp300,HE UHP300,1:01,3
31-Oct-23,ni 300,NI 300,1:02,3
2-Nov-23,ar 300,AR 300,1:01,3
6-Nov-23,nitrogen,NI UHP300,1:01,3
7-Nov-23,AC 4,AC 4,1:01,3
7-Nov-23,cd usp50,CD USP50,1:01,3
7-Nov-23,face shield,RAD64051710,1:01,3
8-Nov-23,gloves,RAD64056003,1:04,3
8-Nov-23,liquid nitrogen,NI NF230LT22,1:01,3
8-Nov-23,ni 300,NI 300,1:02,3
9-Nov-23,oxygen,OX USPEA,1:04,3
10-Nov-23,NI UHP300,NI UHP300,1:01,3
10-Nov-23,OX 200,OX 200,1:01,3
13-Nov-23,flap disc,RAD64000863,1:04,3
14-Nov-23,ar cd10300,AR CD10300,1:01,3
14-Nov-23,hydrogen,HY UHP300,1:01,3
15-Nov-23,co2,CD FG20A,1:03,3
15-Nov-23,face shield,SEL14955,1:01,3
16-Nov-23,nitrile gloves,MCRN894,3:16,3
17-Nov-23,Cd uspe,CD USPE,1:01,3
17-Nov-23,liquid nitrogen,NI 230LT22,1:01,3
22-Nov-23,cd usp50,CD USP50,1:01,3
22-Nov-23,propane,PR 33,1:02,3
22-Nov-23,propane,PR 33A,1:01,3
28-Nov-23,acetylene,AC 4,1:01,3
28-Nov-23,safety glasses,CREBK110,1:03,3
29-Nov-23,er70s-6,RAD64004433,1:02,3
30-Nov-23,Argon,AR 125,1:03,3
1-Dec-23,PR 33A,PR 33A,1:01,3
5-Dec-23,cd 50,CD 50,1:01,3
5-Dec-23,ni 300,NI 300,1:02,3
5-Dec-23,NI UHP300,NI UHP300,1:01,3
6-Dec-23,Argon,AR 300,1:01,3
6-Dec-23,PR 33A,PR 33A,1:01,3
7-Dec-23,ar 300,AR 300,1:01,3
11-Dec-23,REGULATOR,RAD64003040,1:01,3
12-Dec-23,pr33a,HE UHP300,1:01,3
12-Dec-23,soapstone,RAD64002291,1:04,3
13-Dec-23,ar 300,AR 300,1:01,3
13-Dec-23,ar cd25300,AR CD25300,1:01,3
13-Dec-23,he uhp300,HE UHP300,1:01,3
14-Dec-23,dry ice,CD ICEP,1:01,3
14-Dec-23,NI UHP300,NI UHP300,1:01,3
18-Dec-23,cd 50,CD 50,1:04,3
19-Dec-23,ar 300,AR 300,1:01,3
27-Dec-23,ar 300,AR 300,1:01,3
27-Dec-23,nitrogen,NI UHP300,1:02,3
27-Dec-23,propane,PR 33A,1:01,3
29-Dec-23,liquid nitrogen,NI 230LT22,1:01,3
2-Jan-24,Argon,AR 300,1:02,3
2-Jan-24,welding gloves,MIL263353-1,1:07,3
3-Jan-24,NI UHP300,NI UHP300,1:01,3
3-Jan-24,oxygen,OX USPEAWBDS,1:01,3
4-Jan-24,AI UZ300,AI UZ300,1:01,3
4-Jan-24,ar uhp300,AR UHP300,1:01,3
4-Jan-24,nitrogen,NI UHP300,1:02,3
5-Jan-24,PR 33A,PR 33A,1:01,3
9-Jan-24,OX USP200,OX USP200,1:01,3
10-Jan-24,safety glasses,RAD64051205,1:02,3
11-Jan-24,acetylene,AC 5,1:02,3
12-Jan-24,Argon,AR 300,1:02,3
17-Jan-24,cd50,CD 50,1:01,3
17-Jan-24,MIL216326,MIL216326,1:01,3
19-Jan-24,PR 33A,PR 33A,1:01,3
