Date,v08 Global Search Term (evar8),Products,v153 Product Position (evar153),e116 Product clicks (event116)
13-Jan-24,plasma cutters,MIL907579EA,1:06,15
3-Jan-24,argon,AR UHP300,1:01,8
13-Oct-23,soapstone,RAD64002291,1:06,7
13-Nov-23,nitrogen,NI UHP300,1:01,7
27-Nov-23,lincoln,LINK3034-4,1:05,7
3-Jan-24,hydrogen,HY UHP300,1:01,7
23-Oct-23,welding blanket,RAD64052005,1:01,6
24-Oct-23,CO2 REGULATOR,MIL121-0007,1:06,6
27-Oct-23,regulator,Y12N245B580-AG,1:05,6
31-Oct-23,plasma cutter,HYP088112,1:01,6
1-Nov-23,earplugs,MOL6445,2:15,6
3-Nov-23,nitrogen,NI UHP300,1:01,6
8-Nov-23,tig gloves,TIL24CL,1:02,6
10-Nov-23,75/25,AR CD2560,1:08,6
27-Nov-23,lincoln,LINKP2744-035,1:07,6
29-Nov-23,argon,AR UHP300,1:01,6
16-Oct-23,nitrogen regulator,RAD64003044,1:01,5
30-Oct-23,Gloves,RAD64056003,1:04,5
31-Oct-23,plasma cutter,MIL907579EA,1:04,5
6-Nov-23,nitrogen,NI UHP300,1:01,5
7-Nov-23,argon,AR 300,1:01,5
8-Nov-23,ear plugs,HONLPF-1,1:03,5
8-Nov-23,helium,HE UHP300,1:01,5
14-Nov-23,honeywell,HONLL-1,1:03,5
14-Nov-23,wire brush,WBU10009,1:17,5
20-Nov-23,argon,AR UHP300,1:02,5
27-Nov-23,regulator,Y121211C350-AL,1:04,5
1-Dec-23,nitrogen,NI UHP300,1:01,5
7-Dec-23,nitrogen,NI UHP300,1:01,5
14-Dec-23,plasma cutters,HYP088112,1:01,5
14-Dec-23,safety glasses,RAD64051205,1:01,5
20-Dec-23,helium,HE UHP300,1:01,5
21-Dec-23,argon,AR UHP300,1:01,5
21-Dec-23,plasma cutters,MIL907579001EA,1:05,5
22-Dec-23,welding hoods,SEL14532,2:09,5
4-Jan-24,argon,AR 300,1:02,5
4-Jan-24,dry ice pellets,CD ICEP3BL,1:01,5
5-Jan-24,welding helmets,RAD64005228,1:01,5
11-Jan-24,tungsten,RAD64001958,1:01,5
23-Jan-24,tig gloves,SIORS10K,1:02,5
29-Jan-24,nitrogen,NI R200,1:13,5
30-Jan-24,welding helmet - auto darkening,MIL287803,1:06,5
31-Jan-24,argon,AR UHP300,1:01,5
2-Feb-24,oxygen,OX 125,1:20,5
2-Feb-24,propane,VIC0916-0122,1:01,5
16-Oct-23,acetylene,AC 4,1:01,4
17-Oct-23,Safety Glasses,RAD64051205,1:01,4
23-Oct-23,welding jacket,MIL244751,1:01,4
25-Oct-23,dry ice pellets,CD ICEP3BL,1:01,4
26-Oct-23,dry ice pellets,CD ICEP3BL,1:01,4
27-Oct-23,regulator,Y11N114G580-AG,1:08,4
27-Oct-23,regulator,Y11N115H580-AG,1:04,4
27-Oct-23,regulator,Y12N245F580-AG,1:03,4
30-Oct-23,soapstone,RAD64002291,1:06,4
31-Oct-23,hydrogen,HY UHP300,1:01,4
31-Oct-23,plasma cutter,TDC1-5830-2,4:19,4
1-Nov-23,argon,AR 80,1:07,4
1-Nov-23,nitrogen,NI UHP300,1:01,4
5-Nov-23,nitrogen,NI UHP300,1:01,4
10-Nov-23,argon,AR 300,1:01,4
13-Nov-23,helium,HE 200,1:02,4
13-Nov-23,nitrogen,NI 200,1:03,4
16-Nov-23,argon regulator,RAD64003041,1:01,4
17-Nov-23,nitrogen,NI UHP300,1:01,4
21-Nov-23,cylinder cart,STC871-16FW-LE,1:05,4
21-Nov-23,Gloves,TIL24CL,1:11,4
27-Nov-23,regulator,Y121211D350-AL,1:03,4
28-Nov-23,Gloves,RAD64056008,6:19,4
28-Nov-23,plasma cutter,MIL907579EA,1:03,4
29-Nov-23,dry ice,CD ICECB2,1:02,4
30-Nov-23,helium,HE UHP300,1:01,4
1-Dec-23,oxygen,OX 200,1:01,4
4-Dec-23,argon,AR UHP300,1:01,4
4-Dec-23,Gloves,TIL1414L,1:01,4
4-Dec-23,nitrogen,NI CZ15A,1:01,4
5-Dec-23,argon,AR 125,1:03,4
7-Dec-23,helium,HE UHP300,1:01,4
7-Dec-23,plasma cutters,HYP059569,1:18,4
12-Dec-23,acetylene,AC 4,1:01,4
12-Dec-23,argon,AR 300,1:01,4
12-Dec-23,co2,CD 50,1:01,4
12-Dec-23,helium,HE UHP300,1:01,4
12-Dec-23,plasma cutter,HYP088112,1:01,4
13-Dec-23,nitrogen,NI UHP300,1:01,4
14-Dec-23,dry ice,CD ICEP3BL,1:01,4
14-Dec-23,nitrogen,NI UHP300,1:01,4
18-Dec-23,TIG TORCH,MILWP-17-25-MF,2:16,4
20-Dec-23,hard hats,MSA475359,1:01,4
28-Dec-23,acetylene,AC B,1:05,4
2-Jan-24,welding helmet,RAD64005228,1:01,4
8-Jan-24,Soapstone,RAD64002291,1:01,4
9-Jan-24,radnor gloves,RAD64056517,6:12,4
10-Jan-24,balloon helium,HE BL40,1:09,4
11-Jan-24,argon,AR UHP300,1:01,4
18-Jan-24,dry ice,CD ICEP3BL,1:01,4
19-Jan-24,Wire wheel,RAD64000378,1:01,4
22-Jan-24,Welding hood,RAD64005244,1:01,4
23-Jan-24,dry ice pellets,CD ICEP3BL,1:01,4
25-Jan-24,lincoln,LINKP2744-035,1:13,4
26-Jan-24,nitrogen,NI 300,1:05,4
31-Jan-24,acetylene,AC 4,1:01,4
31-Jan-24,liquid nitrogen,NI 230LT22,1:01,4
31-Jan-24,safety glasses,CREBK110,1:01,4
2-Feb-24,nitrogen,NI 230LT22,1:01,4
5-Feb-24,nitrogen,NI UHP300,1:02,4
6-Feb-24,nitrogen,NI 40,1:14,4
12-Oct-23,argon,AR 80,1:07,3
12-Oct-23,helium,HE UHP300,1:01,3
12-Oct-23,plasma cutters,HYP088112,1:01,3
13-Oct-23,argon regulator,MIL31-50-580,1:11,3
13-Oct-23,argon regulator,RAD64003036,1:03,3
13-Oct-23,liquid nitrogen,NI 230LT22,1:02,3
16-Oct-23,argon,AR 300,1:01,3
16-Oct-23,dry ice,CD ICEP3BL,1:01,3
16-Oct-23,oxygen,OX UHP300,1:06,3
16-Oct-23,plasma cutter,HYP088112,1:01,3
16-Oct-23,plasma cutter,MIL907529,1:02,3
16-Oct-23,welding jacket,MIL231082,1:05,3
17-Oct-23,Gloves,RAD64057408,1:11,3
17-Oct-23,oxygen,OX UHP300,1:06,3
18-Oct-23,argon,AR 300,1:01,3
18-Oct-23,co2 tank,CD 50,1:01,3
18-Oct-23,dry ice,CD ICEP3BL,1:01,3
18-Oct-23,ground clamp,RAD64002097,1:07,3
19-Oct-23,argon,AR UHP300,1:02,3
19-Oct-23,face shield,HONF400,1:11,3
19-Oct-23,nitrogen,NI UHP300,1:01,3
19-Oct-23,torch,HCL1003426,2:10,3
20-Oct-23,argon,AR 300,1:01,3
22-Oct-23,welding helmet - auto darkening,RAD64005244,1:01,3
23-Oct-23,dry ice,CD ICEP3BL,1:01,3
23-Oct-23,nitrogen,NI UHP300,1:01,3
23-Oct-23,nitrogen regulator,RAD64003044,1:01,3
23-Oct-23,Welding hoods,MIL287803,1:01,3
23-Oct-23,welding jacket,MIL244752,1:03,3
24-Oct-23,dry ice,CD ICECB2,1:03,3
24-Oct-23,regulator,Y12244A580-AG,1:04,3
26-Oct-23,Safety Glasses,CREBK119,1:12,3
26-Oct-23,Safety Glasses,RAD64051240,1:20,3
27-Oct-23,co2,CD USP50,1:02,3
27-Oct-23,regulator,Y12C445D580-AG,1:07,3
27-Oct-23,regulator,Y12N245E580-AG,1:06,3
27-Oct-23,welding helmet,MIL289755,1:12,3
28-Oct-23,welding caps,RAD64056111,2:10,3
30-Oct-23,dry ice,CD ICEP3BL,1:01,3
30-Oct-23,earplugs,MOL6604,1:01,3
30-Oct-23,plasma cutter,HYP088112,1:01,3
30-Oct-23,Safety Glasses,HONS2870HS,3:08,3
30-Oct-23,soapstone,RAD64002311,1:08,3
30-Oct-23,welding jacket,PIP7005/XL,1:09,3
31-Oct-23,argon,AR 125,1:03,3
